Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KDS_Smoke_Suite,Firefox 109.0,,,2023-07-03 20:23:47,2023-07-03 20:25:39,1m - 52.448s,PASSED
,,,,,,,
Test Cases/KDS/TC_01_Login,Firefox 109.0,,,2023-07-03 20:23:47,2023-07-03 20:24:10,23.156s,PASSED
"openBrowser("""")",Firefox 109.0,,,2023-07-03 20:23:48,2023-07-03 20:23:51,3.532s,PASSED
"navigateToUrl(""https://www.studiokohler.com/en-us/faqs"")",Firefox 109.0,,,2023-07-03 20:23:51,2023-07-03 20:24:00,8.483s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-07-03 20:24:00,2023-07-03 20:24:00,0.589s,PASSED
"click(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_OK_fal fa-user""))",Firefox 109.0,,,2023-07-03 20:24:00,2023-07-03 20:24:01,0.953s,PASSED
"setText(findTestObject(""Object Repository/KSD/Page_Product FAQs/input_E-mail Address_nav-user-email""), ""Bhushan.borse@kohler.com"")",Firefox 109.0,,,2023-07-03 20:24:01,2023-07-03 20:24:02,0.919s,PASSED
"setEncryptedText(findTestObject(""Object Repository/KSD/Page_Product FAQs/input_Password_nav-user-password""), ""UkTT/T5uWxEyt5z+WbCT2w=="")",Firefox 109.0,,,2023-07-03 20:24:02,2023-07-03 20:24:03,0.482s,PASSED
"click(findTestObject(""Object Repository/KSD/Page_Product FAQs/button_Sign In""))",Firefox 109.0,,,2023-07-03 20:24:03,2023-07-03 20:24:04,1.485s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Bhushan""))",Firefox 109.0,,,2023-07-03 20:24:04,2023-07-03 20:24:10,6.328s,PASSED
,,,,,,,
Test Cases/KDS/TC_02_Header_Menu_Check,Firefox 109.0,,,2023-07-03 20:24:10,2023-07-03 20:24:25,14.387s,PASSED
"openBrowser("""")",Firefox 109.0,,,2023-07-03 20:24:11,2023-07-03 20:24:13,2.574s,PASSED
"navigateToUrl(""https://www.studiokohler.com/en-us/faqs"")",Firefox 109.0,,,2023-07-03 20:24:13,2023-07-03 20:24:19,5.709s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-07-03 20:24:19,2023-07-03 20:24:19,0.497s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Products""))",Firefox 109.0,,,2023-07-03 20:24:19,2023-07-03 20:24:20,0.734s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Resources""))",Firefox 109.0,,,2023-07-03 20:24:20,2023-07-03 20:24:21,0.609s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Services""))",Firefox 109.0,,,2023-07-03 20:24:21,2023-07-03 20:24:21,0.303s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Inspiration""))",Firefox 109.0,,,2023-07-03 20:24:21,2023-07-03 20:24:21,0.289s,PASSED
"click(findTestObject(""Object Repository/KSD/Page_Product FAQs/button_OK""))",Firefox 109.0,,,2023-07-03 20:24:21,2023-07-03 20:24:22,0.569s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Events""))",Firefox 109.0,,,2023-07-03 20:24:22,2023-07-03 20:24:22,0.299s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_About""))",Firefox 109.0,,,2023-07-03 20:24:22,2023-07-03 20:24:22,0.290s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_India""))",Firefox 109.0,,,2023-07-03 20:24:22,2023-07-03 20:24:23,0.282s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_OK_fal fa-folder""))",Firefox 109.0,,,2023-07-03 20:24:23,2023-07-03 20:24:23,0.283s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_OK_fal fa-map-marker-alt""))",Firefox 109.0,,,2023-07-03 20:24:23,2023-07-03 20:24:23,0.338s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_OK_fal fa-user""))",Firefox 109.0,,,2023-07-03 20:24:23,2023-07-03 20:24:24,0.347s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_Project Folder_fal fa-search""))",Firefox 109.0,,,2023-07-03 20:24:24,2023-07-03 20:24:24,0.277s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/img_OK_black-version logo_js""))",Firefox 109.0,,,2023-07-03 20:24:24,2023-07-03 20:24:24,0.292s,PASSED
closeBrowser(),Firefox 109.0,,,2023-07-03 20:24:24,2023-07-03 20:24:25,0.486s,PASSED
,,,,,,,
Test Cases/KDS/TC_03_Search_Functionality,Firefox 109.0,,,2023-07-03 20:24:25,2023-07-03 20:24:42,17.463s,PASSED
"openBrowser("""")",Firefox 109.0,,,2023-07-03 20:24:25,2023-07-03 20:24:27,2.062s,PASSED
"navigateToUrl(""https://www.studiokohler.com/en-us/faqs"")",Firefox 109.0,,,2023-07-03 20:24:27,2023-07-03 20:24:33,5.557s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-07-03 20:24:33,2023-07-03 20:24:33,0.491s,PASSED
"click(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_Project Folder_fal fa-search""))",Firefox 109.0,,,2023-07-03 20:24:33,2023-07-03 20:24:35,1.601s,PASSED
"setText(findTestObject(""Object Repository/KSD/Page_Product FAQs/input_Project Folder_search""), ""toi"")",Firefox 109.0,,,2023-07-03 20:24:35,2023-07-03 20:24:35,0.569s,PASSED
