Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KDS_Smoke_Suite,Firefox 109.0,,,2023-07-01 13:29:24,2023-07-01 13:31:31,2m - 7.572s,PASSED
,,,,,,,
Test Cases/KDS/TC_01_Login,Firefox 109.0,,,2023-07-01 13:29:24,2023-07-01 13:29:54,29.587s,PASSED
"openBrowser("""")",Firefox 109.0,,,2023-07-01 13:29:24,2023-07-01 13:29:33,8.844s,PASSED
"navigateToUrl(""https://www.studiokohler.com/en-us/faqs"")",Firefox 109.0,,,2023-07-01 13:29:33,2023-07-01 13:29:42,8.841s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-07-01 13:29:42,2023-07-01 13:29:43,0.561s,PASSED
"click(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_OK_fal fa-user""))",Firefox 109.0,,,2023-07-01 13:29:43,2023-07-01 13:29:44,1.423s,PASSED
"setText(findTestObject(""Object Repository/KSD/Page_Product FAQs/input_E-mail Address_nav-user-email""), ""Bhushan.borse@kohler.com"")",Firefox 109.0,,,2023-07-01 13:29:44,2023-07-01 13:29:45,0.937s,PASSED
"setEncryptedText(findTestObject(""Object Repository/KSD/Page_Product FAQs/input_Password_nav-user-password""), ""UkTT/T5uWxEyt5z+WbCT2w=="")",Firefox 109.0,,,2023-07-01 13:29:45,2023-07-01 13:29:46,0.520s,PASSED
"click(findTestObject(""Object Repository/KSD/Page_Product FAQs/button_Sign In""))",Firefox 109.0,,,2023-07-01 13:29:46,2023-07-01 13:29:47,1.178s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Bhushan""))",Firefox 109.0,,,2023-07-01 13:29:47,2023-07-01 13:29:54,6.853s,PASSED
,,,,,,,
Test Cases/KDS/TC_02_Header_Menu_Check,Firefox 109.0,,,2023-07-01 13:29:54,2023-07-01 13:30:11,17.085s,PASSED
"openBrowser("""")",Firefox 109.0,,,2023-07-01 13:29:54,2023-07-01 13:29:57,3.230s,PASSED
