Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KDS_Smoke_Suite,Firefox 109.0,,,2023-07-03 20:21:19,2023-07-03 20:23:17,1m - 57.757s,PASSED
,,,,,,,
Test Cases/KDS/TC_01_Login,Firefox 109.0,,,2023-07-03 20:21:19,2023-07-03 20:21:40,20.398s,PASSED
"openBrowser("""")",Firefox 109.0,,,2023-07-03 20:21:20,2023-07-03 20:21:23,3.436s,PASSED
"navigateToUrl(""https://www.studiokohler.com/en-us/faqs"")",Firefox 109.0,,,2023-07-03 20:21:23,2023-07-03 20:21:29,5.721s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-07-03 20:21:29,2023-07-03 20:21:29,0.572s,PASSED
"click(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_OK_fal fa-user""))",Firefox 109.0,,,2023-07-03 20:21:29,2023-07-03 20:21:31,1.080s,PASSED
"setText(findTestObject(""Object Repository/KSD/Page_Product FAQs/input_E-mail Address_nav-user-email""), ""Bhushan.borse@kohler.com"")",Firefox 109.0,,,2023-07-03 20:21:31,2023-07-03 20:21:31,0.882s,PASSED
"setEncryptedText(findTestObject(""Object Repository/KSD/Page_Product FAQs/input_Password_nav-user-password""), ""UkTT/T5uWxEyt5z+WbCT2w=="")",Firefox 109.0,,,2023-07-03 20:21:31,2023-07-03 20:21:32,0.505s,PASSED
"click(findTestObject(""Object Repository/KSD/Page_Product FAQs/button_Sign In""))",Firefox 109.0,,,2023-07-03 20:21:32,2023-07-03 20:21:33,1.335s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Bhushan""))",Firefox 109.0,,,2023-07-03 20:21:33,2023-07-03 20:21:40,6.477s,PASSED
,,,,,,,
Test Cases/KDS/TC_02_Header_Menu_Check,Firefox 109.0,,,2023-07-03 20:21:40,2023-07-03 20:21:54,14.503s,PASSED
"openBrowser("""")",Firefox 109.0,,,2023-07-03 20:21:40,2023-07-03 20:21:43,2.554s,PASSED
"navigateToUrl(""https://www.studiokohler.com/en-us/faqs"")",Firefox 109.0,,,2023-07-03 20:21:43,2023-07-03 20:21:47,4.192s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-07-03 20:21:47,2023-07-03 20:21:47,0.494s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Products""))",Firefox 109.0,,,2023-07-03 20:21:47,2023-07-03 20:21:50,2.352s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Resources""))",Firefox 109.0,,,2023-07-03 20:21:50,2023-07-03 20:21:50,0.405s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Services""))",Firefox 109.0,,,2023-07-03 20:21:50,2023-07-03 20:21:50,0.301s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Inspiration""))",Firefox 109.0,,,2023-07-03 20:21:50,2023-07-03 20:21:51,0.346s,PASSED
"click(findTestObject(""Object Repository/KSD/Page_Product FAQs/button_OK""))",Firefox 109.0,,,2023-07-03 20:21:51,2023-07-03 20:21:51,0.590s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Events""))",Firefox 109.0,,,2023-07-03 20:21:51,2023-07-03 20:21:52,0.404s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_About""))",Firefox 109.0,,,2023-07-03 20:21:52,2023-07-03 20:21:52,0.288s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_India""))",Firefox 109.0,,,2023-07-03 20:21:52,2023-07-03 20:21:52,0.301s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_OK_fal fa-folder""))",Firefox 109.0,,,2023-07-03 20:21:52,2023-07-03 20:21:52,0.308s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_OK_fal fa-map-marker-alt""))",Firefox 109.0,,,2023-07-03 20:21:52,2023-07-03 20:21:53,0.284s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_OK_fal fa-user""))",Firefox 109.0,,,2023-07-03 20:21:53,2023-07-03 20:21:53,0.311s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_Project Folder_fal fa-search""))",Firefox 109.0,,,2023-07-03 20:21:53,2023-07-03 20:21:53,0.295s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Product FAQs/img_OK_black-version logo_js""))",Firefox 109.0,,,2023-07-03 20:21:53,2023-07-03 20:21:54,0.359s,PASSED
closeBrowser(),Firefox 109.0,,,2023-07-03 20:21:54,2023-07-03 20:21:54,0.515s,PASSED
,,,,,,,
Test Cases/KDS/TC_03_Search_Functionality,Firefox 109.0,,,2023-07-03 20:21:54,2023-07-03 20:22:18,23.366s,PASSED
"openBrowser("""")",Firefox 109.0,,,2023-07-03 20:21:54,2023-07-03 20:21:57,2.072s,PASSED
"navigateToUrl(""https://www.studiokohler.com/en-us/faqs"")",Firefox 109.0,,,2023-07-03 20:21:57,2023-07-03 20:22:02,5.775s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-07-03 20:22:02,2023-07-03 20:22:03,0.470s,PASSED
"click(findTestObject(""Object Repository/KSD/Page_Product FAQs/i_Project Folder_fal fa-search""))",Firefox 109.0,,,2023-07-03 20:22:03,2023-07-03 20:22:04,1.381s,PASSED
"setText(findTestObject(""Object Repository/KSD/Page_Product FAQs/input_Project Folder_search""), ""toi"")",Firefox 109.0,,,2023-07-03 20:22:04,2023-07-03 20:22:05,0.527s,PASSED
"click(findTestObject(""Object Repository/KSD/Page_Product FAQs/a_Toilets""))",Firefox 109.0,,,2023-07-03 20:22:05,2023-07-03 20:22:17,11.829s,PASSED
"click(findTestObject(""Object Repository/KSD/Page_Search Results/span_Search Results for Toilets""))",Firefox 109.0,,,2023-07-03 20:22:17,2023-07-03 20:22:17,0.795s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KSD/Page_Search Results/span_Search Results for Toilets""))",Firefox 109.0,,,2023-07-03 20:22:17,2023-07-03 20:22:18,0.331s,PASSED
,,,,,,,
Test Cases/KDS/TC_05_Cookies_Close,Firefox 109.0,,,2023-07-03 20:22:18,2023-07-03 20:22:29,11.617s,PASSED
